Index,Experimental Absorption max (eV),IMOM Absorption (eV),SC-IMOM Absorption (eV),TDDFT Absorption (eV),TDDFT Absorption S2 (eV),Experimental Emission max (eV),SC-IMOM Emission (eV),TDDFT Emission (eV)
S07,1.8314,1.5591406471948754,1.886206106,1.9692,1.9692,1.818,1.765215191,1.8806
S02,1.8395,1.5558941094845837,1.885633696,1.9086,1.9092,1.8287,1.764669703,1.8113
S04,1.8395,1.5849754768904363,1.911395739,1.9105,1.9115,1.8273,1.791631349,1.8081
S11,2.179,1.9724942215940253,2.311814171,2.4385,2.4386,2.1562,2.110210191,2.2801
P04,2.4051,1.9460650677101303,2.27150117,2.7709,3.2631,2.3571,2.18230601,2.6257
P03,2.4661,1.9631799770644753,2.285311559,2.7884,3.5531,2.3797,2.202283957,2.6609
P06,2.5564,2.3563924350948864,2.487268834,2.6865,2.6901,2.4772,2.140329072,1.9981
G24,4.0919,2.985389170692354,3.089630487,3.1597,3.1691,3.7232,2.761507483,2.9111
K11,1.9449,1.5792860357484508,1.766314028,2.1003,3.3027,1.8871,1.646829342,1.9627
K15,1.8907,1.5431932973793903,1.690503241,2.0345,3.4951,1.8409,1.598634153,1.9396
K08,2.1303,1.7525844217290727,1.907298339,2.2748,3.7492,2.0544,1.789487909,2.1528
K02,2.0544,1.7068149557715226,1.84694841,2.1715,3.0656,1.9853,1.722661344,2.0544
